task	modality	subject	thr_kvox	thr_tokens	pos_kvox	pos_tokens	brain_kvox	brain_tokens	label_kvox	thr_label_kept	pos_label_kept	brain_label_kept	brain_outside_pos	pos_dropped
task4	t2w	sub-03	2511.4490	8262	5596.4900	14506	1503.1640	3732	0.0940	1.0000	1.0000	1.0000	0.0000	0.7314
task4	t2w	sub-04	2705.7050	8175	5204.2700	14015	1353.9940	3396	0.1490	1.0000	1.0000	1.0000	0.0000	0.7398
task4	t2w	sub-05	3004.2180	10045	6195.6440	14674	1606.1030	3980	0.1940	1.0000	1.0000	1.0000	0.0000	0.7408
task4	t2w	sub-06	2667.3720	7897	5094.3310	12451	1391.4240	3431	0.1180	1.0000	1.0000	1.0000	0.0000	0.7269
task4	t2w	sub-07	2241.2720	7051	4844.4970	12646	1343.1280	3387	0.0830	1.0000	1.0000	0.9880	0.0000	0.7228
task4	t2w	sub-08	2912.7810	8611	5569.5120	14643	1565.3690	3888	0.0700	1.0000	1.0000	1.0000	0.0000	0.7189
task4	t2w	sub-09	2769.1630	8234	5397.9700	14100	1540.9310	3823	0.0460	1.0000	1.0000	1.0000	0.0000	0.7145
task4	t2w	sub-10	2724.9290	8614	5815.0740	14940	1365.4660	3420	0.1480	1.0000	1.0000	1.0000	0.0000	0.7652
task4	t2w	sub-11	2522.1570	7770	5318.8140	14060	1367.6010	3428	0.1180	1.0000	1.0000	1.0000	0.0000	0.7429
task4	t2w	sub-12	2389.8390	6917	4771.5100	12541	1128.9970	2880	0.1960	1.0000	1.0000	1.0000	0.0000	0.7634
task4	t2w	sub-13	2359.2060	7176	5310.8040	15217	1346.4950	3373	0.0900	1.0000	1.0000	1.0000	0.0000	0.7465
task4	t2w	sub-14	3081.7770	8946	5371.3690	13642	1728.1870	4284	0.1670	0.9940	1.0000	1.0000	0.0000	0.6783
task4	t2w	sub-15	2583.5740	8694	5822.4290	15032	1491.0820	3698	0.2020	1.0000	1.0000	1.0000	0.0000	0.7439
task4	t2w	sub-16	2449.1560	7276	5238.3810	14860	1394.8060	3476	0.0430	1.0000	1.0000	1.0000	0.0000	0.7337
task4	t2w	sub-17	2752.3200	8860	5639.0260	14041	1484.2350	3710	0.1640	1.0000	1.0000	1.0000	0.0000	0.7368
task4	t2w	sub-18	2684.6280	7924	5534.2890	14395	1368.5000	3436	0.1490	0.9933	1.0000	1.0000	0.0000	0.7527
task4	t2w	sub-19	2365.7470	7039	5112.1870	13651	1332.5430	3339	0.1340	1.0000	1.0000	1.0000	0.0000	0.7393
task4	t2w	sub-20	2711.0530	8166	5520.7700	13932	1142.6850	2915	0.0310	1.0000	1.0000	0.9677	0.0000	0.7930
task4	t2w	sub-21	2343.6050	7266	4873.8870	13396	1384.4300	3483	0.0940	1.0000	1.0000	1.0000	0.0000	0.7159
task4	t2w	sub-22	2494.8580	6969	4686.4800	13011	1352.1950	3393	0.0640	1.0000	1.0000	1.0000	0.0000	0.7115
task4	t2w	sub-23	2880.0490	9092	5655.0090	13781	1493.9550	3737	0.0750	1.0000	1.0000	1.0000	0.0000	0.7358
task4	t2w	sub-24	2552.6000	7777	4948.2160	12287	1297.0910	3232	0.1750	1.0000	1.0000	1.0000	0.0000	0.7379
task4	t2w	sub-25	2810.6830	9182	5776.1030	14219	1459.7380	3646	0.0940	1.0000	1.0000	0.8723	0.0000	0.7473
task4	t2w	sub-26	2483.6970	7923	5149.3480	14125	1536.3590	3851	0.2640	1.0000	1.0000	1.0000	0.0000	0.7016
task4	t2w	sub-27	2476.3770	7713	5192.8180	13490	1300.8930	3286	0.0380	0.9737	1.0000	1.0000	0.0000	0.7495
task4	t2w	sub-28	2759.0840	8156	5260.8480	13454	1463.1270	3640	0.1670	1.0000	1.0000	0.9940	0.0000	0.7219
task4	t2w	sub-29	2603.8810	7615	4910.0060	13345	1353.6440	3387	0.1910	1.0000	1.0000	1.0000	0.0000	0.7243
task4	t2w	sub-30	2432.6650	7593	4989.5700	13186	1269.5540	3199	0.1110	1.0000	1.0000	1.0000	0.0000	0.7456
task4	t2w	sub-31	2777.5380	9145	5984.0630	15083	1296.0140	3279	0.1150	1.0000	1.0000	0.9826	0.0000	0.7834
